Revenue,Gross Profit,Operating Income,Pretax Income,Diluted EPS,EBITDA,ROA,ROE,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Date,Company,Revenue target,Operating Income target
181.526,90.238,73.159,-148.782,0,113.787,-0.02677919163135203,-0.06258941780794815,195.044,3897.834976,4092.879104,473.104,1994.034944,2467.138944,1625.740032,110.207,-547.884992,423.495008,2013-03-31,AR,205.807008,71.852
205.807008,92.719008,71.852,38.384,0,165.336,0,0,327.904992,4497.242976,4825.147904,477.531008,2590.683904,3068.214912,1756.932992,192.396992,-1178.407936,977.889024,2013-06-30,AR,269.588,110.879
269.588,130.694,110.879,26.401,0.05570700019598007,270.326016,0,0,359.512992,5312.694912,5672.207872,586.884992,3207.495936,3794.380928,1877.826944,331.936992,-1864.883968,1525.542016,2013-09-30,AR,656.014016,96.046
656.014016,485.995008,96.046,-431.42,-1.0815000534057617,171.54,0,0,333.564,6280.016832,6613.5808,622.228992,2392.691968,3014.92096,3598.66,202.77,-808.707968,611.841024,2013-12-31,AR,416.064992,145.176
416.064992,215.138992,145.176,113.834,0.22625499963760376,236.684,-0.035079854940220076,-0.07634624352839559,321.921984,6812.535168,7134.456832,760.806016,2840.61312,3601.419136,3533.037896,274.307008,-735.513024,456.299008,2014-03-31,AR,436.056992,120.419
436.056992,200.377984,120.419,83.159,0.1780260056257248,225.882,-0.025899448067231576,-0.06312973773522014,387.228,7657.980096,8045.208064,860.713984,3661.266944,4521.980928,3523.227008,222.368,-1018.358016,801.329024,2014-06-30,AR,510.966016,76.966
510.966016,227.085024,76.966,34.511,0.1936350017786026,201.91,-0.01741697936014654,-0.046373365403241176,502.703008,8813.17696,9315.879936,1064.035968,4500.422144,5564.458112,3751.421952,302.071008,-1070.601024,756.918976,2014-09-30,AR,585.126976,141.55
585.126976,247.773984,141.55,14.105,-0.0653190016746521,298.801984,0.012591755884132801,0.028688827040432713,1252.16,10321.335104,11573.494784,894.732032,5204.93312,6099.665152,5473.83008,199.375008,-1265.177984,1305.474048,2014-12-31,AR,654.972992,142.522
654.972992,276.2910079999999,142.522,89.337,0.18027499318122864,325.222016,0.020405163327634354,0.04509769985002041,1188.029952,11293.921024,12481.95072,1053.993024,4993.682944,6047.675968,6434.275072,351.393984,-739.235968,327.353984,2015-03-31,AR,574.820992,62.634
574.820992,201.505984,62.634,2.811,-0.016408000141382217,240.088,0.007477332335132227,0.017600360027177134,1017.179008,11515.302528,12532.481024,966.182976,5256.851968,6223.034944,6309.446016,243.714,-599.542016,313.623008,2015-06-30,AR,570.182976,76.717
570.182976,199.28796799999998,76.717,15.796,-0.002597999991849065,265.803008,0.0022252769843555706,0.005347080235068698,1040.328,12536.745728,13577.073664,1025.769024,5440.881152,6466.650176,7110.424064,246.046,-498.086016,136.164,2015-09-30,AR,629.952,126.336
629.952,267.728992,126.336,65.865,0.15408499538898468,288.513984,0.007266607914079376,0.018119515132344857,1248.236032,12906.988032,14155.224064,707.270016,6161.275904,6868.54592,7286.678016,169.780992,-461.295008,287.576992,2015-12-31,AR,765.427008,138.698
765.427008,333.93199999999996,138.698,75.414,0.11526300013065338,330.878016,0.004972119778403391,0.011675027241409206,1238.339968,13050.371968,14288.71168,645.084032,6223.284224,6868.368256,7420.343936,340.168,-519.295008,195.524,2016-03-31,AR,727.936,109.142
727.936,294.39299199999994,109.142,47.031,0.08787800371646881,307.124,0.007435719282995629,0.016940325061512374,669.784,12888.996352,13558.779904,569.432,5388.448768,5957.880768,7600.898816,238.538,-519.064,268.907008,2016-06-30,AR,782.881024,145.463008
782.881024,318.817024,145.463008,87.251,0.12418299913406372,345.204,0.009932572296472193,0.022672992801040414,695.470976,13933.782272,14629.25312,611.904,6037.066752,6648.970752,7980.282112,326.991008,-936.307968,599.577984,2016-09-30,AR,887.910016,215.396992
887.910016,405.150016,215.396992,145.936992,-0.9785209894180298,437.84,0.010329877058112705,0.024061605305827172,402.587008,13852.962816,14255.550464,817.388032,5709.583872,6526.971904,7728.57792,335.559008,-420.471008,98.01,2016-12-31,AR,801.652992,134.316
801.652992,291.113984,134.316,69.877,0.12747099995613098,337.681984,0.010734493213825698,0.022866661584476217,503.697984,14384.956416,14888.653824,723.436032,5911.265792,6634.701824,8253.952128,393.939008,-688.473024,262.924,2017-03-31,AR,735.811968,84.365
735.811968,227.68896000000004,84.365,19.406,-0.0976099967956543,286.196,0.006971251657101424,0.01455021866523514,735.883008,14706.337792,15442.221056,693.059968,6446.299136,7139.359104,8302.861824,253.647008,-634.734976,495.612,2017-06-30,AR,775.315968,96.384
775.315968,239.06995200000003,96.384,33.358,-0.09808400273323059,304.009984,0.002158318027173607,0.0044690948288426255,610.953024,14238.261504,14849.214464,717.676032,5744.275968,6461.952,8387.262144,1045.222016,-550.764992,-510.952992,2017-09-30,AR,919.843968,185.108
919.843968,368.314944,185.108,129.025,0.18543599545955658,399.504992,0.016995803546788084,0.03480936633354955,833.086976,14428.403328,15261.490176,762.096,5623.258112,6385.354112,8876.135808,313.483008,-513.323008,204.587008,2017-12-31,AR,1122.813056,291.742016
1122.813056,549.396032,291.742016,235.178,0.39480599761009216,520.676,0.008155616078808551,0.015626511898603323,800.033984,14622.81472,15422.849024,789.852992,5711.898112,6501.751104,8921.097856,541.548992,-563.569024,16.732,2018-03-31,AR,1014.118016,134.366
1014.118016,411.52704,134.366,74.281,-0.028893999755382538,373.116,0.009254260077417302,0.018332726778216204,834.929984,14855.676928,15690.606592,788.732992,6098.962944,6887.695936,8802.91104,297.391008,-608.777984,338.841984,2018-06-30,AR,1074.638976,225.163008
1074.638976,437.451968,225.163008,161.34,0.1902790069580078,469.06,0.015378993421142085,0.0302771182649676,906.632,14895.90336,15802.534912,813.870976,6317.512192,7131.383168,8671.151808,421.457984,-597.992,125.926,2018-09-30,AR,1242.779008,293.868992
1242.779008,478.705024,293.868992,222.467008,0.4269450008869171,557.571968,0.03334916608465483,0.06490799156884494,806.612992,14712.851136,15519.464448,853.539968,6178.446848,7031.986816,8487.47712,821.588992,-580.385024,-241.204,2018-12-31,AR,1211.867008,243.636
1211.867008,468.750976,243.636,88.675,-0.020767999812960625,738.404992,0.011028384868049525,0.02189857611684661,544.896,16743.834112,17288.730624,1266.781056,7729.150976,8995.932032,8292.797952,539.004032,-204.816992,-334.187008,2019-03-31,AR,1015.936,-46.178
1015.936,134.05702400000004,-46.178,-86.757,-0.22367200255393982,474.067008,0.00729274914971437,0.014689434068119128,713.049024,16617.831168,17330.880512,1221.106944,7770.073088,8991.180032,8339.699968,218.104,-340.768992,122.665,2019-06-30,AR,1018.096,-37.332
1018.096,107.01497600000005,-37.332,-202.944992,-0.5008140206336975,498.575008,-0.0058658875192375975,-0.012190878988923457,729.500032,15390.787584,16120.288256,1171.168,7502.422016,8673.590016,7446.697984,198.41,-279.740992,81.331,2019-09-30,AR,1023.908992,-74.553
1023.908992,223.846976,-74.553,-56.819,-0.12989099323749542,352.515008,-0.008062166036500258,-0.01691968452738164,922.884992,14274.684032,15197.569024,1040.140032,7186.685952,8226.825984,6970.742784,147.94,-216.163008,68.223,2019-12-31,AR,962.198016,124.77
